id;name;taxId;gender;dateOfBirth;status;externalCode;isEnriched;enrichedAt;enrichedBy;createdAt;createdBy;updatedAt;updatedBy;phone;email
1013;Dra. Rebeca Reis Novaes;988.836.070-72;;14/02/1972;1;;False;;;13/12/2024 21:37;matheuslima;23/06/2024 09:31;rafaelapeixoto47;5,552195E+12;gustavo40@bol.com.br
1014;Lavínia Paz;39.997.842/7125-17;O;16/04/1996;2;G7OPFLH0;False;;;23/03/2025 11:47;viniciuscruz;23/03/2025 11:47;viniciuscruz;5,554192E+12;luiz@gmail.com
1015;Sr. Isabela Cardoso;76.060.553/2953-57;F;13/07/1949;2;E2O78RUV;True;01/01/2025 16:06;lucascavalcanti;22/01/2024 17:06;gabrielfernandes;03/12/2024 18:05;brunamonteiro;5,558200E+12;daniela@ig.com.br
1016;Renan Luigi Viana;321.684.176-53;M;19/11/1980;1;;True;10/09/2024 12:45;marinanunes7;26/08/2024 12:30;amandamota;26/08/2024 12:30;amandamota;5,556197E+12;ricardo61@ig.com.br
1017;Srta. Lívia Gomes Viana;974.618.796-11;O;21/11/1967;2;MRE7DCFW;True;06/05/2024 14:06;gabrielapeixoto15;29/01/2025 02:47;jessicarosa;25/03/2025 17:40;manuelasilva4;5,554199E+12;marina@bol.com.br
1018;Dr. Lorenzo Ribeiro Gonçalves;62.067.601/9535-44;M;31/10/1990;2;;True;19/04/2024 10:21;luizcostela4;14/03/2024 02:57;danilocostela22;14/03/2024 02:57;danilocostela22;5,552190E+12;gabriel@uol.com.br
1019;Amanda Agatha Mata;886.562.677-90;F;30/07/1948;2;RN4TLOXG;True;24/01/2025 08:45;bernardoribeiro66;15/12/2024 07:05;luizmata71;11/06/2024 18:00;leticiacorreia77;5,555200E+12;camila16@hotmail.com
1020;Luana Renan Nunes;493.237.575-58;O;06/06/1949;2;;False;;;21/08/2024 20:41;biancamota43;21/08/2024 20:41;biancamota43;5,554200E+12;larissa73@uol.com.br
1021;Carlos Alves;799.564.994-96;O;27/10/1986;1;;True;18/02/2025 08:46;amandaalves73;22/01/2024 10:55;thiagoviana;25/03/2025 17:49;mariaduarte43;5,553191E+12;julia@gmail.com
1022;Dr. Eduardo Giovanna Pereira Barbosa;997.156.156-76;;27/11/1951;2;;True;31/01/2025 02:33;danieladuarte15;13/04/2024 16:44;ceciliapeixoto;03/05/2025 08:41;nicolegoncalves94;5,554195E+12;aline27@ig.com.br
1023;Isaac Dias Duarte;818.174.412-54;;31/03/1995;1;K097HW5R;False;;;31/10/2023 05:39;arthurcarvalho16;08/03/2024 12:28;brunafarias;5,556192E+12;leandro77@yahoo.com.br
1024;Marcelo Moraes;301.939.800-60;;12/12/1957;2;;True;06/05/2024 22:55;carlosfarias;30/04/2024 20:10;caiopaz;30/04/2024 20:10;caiopaz;5,552200E+12;bruna@uol.com.br
1025;Catarina Cavalcanti;899.848.205-49;F;04/02/1985;2;DCNZPRWX;True;28/02/2025 12:57;nicolebarbosa;20/02/2025 13:33;danilosales39;19/01/2025 21:37;amandafarias92;5,557190E+12;gabriela55@hotmail.com
1026;Mirella Camila Carvalho Vieira;906.398.404-21;O;26/12/1984;2;;True;01/03/2025 19:37;alicepires36;09/01/2024 01:30;isabellaviana33;22/06/2024 20:50;beatrizsouza11;5,558197E+12;lara9@gmail.com
1027;Dr. Rodrigo Sales;735.027.135-20;;17/12/1953;2;I1IQH8E8;True;26/04/2025 14:36;alinemelo;16/10/2024 03:36;ricardobarros;18/06/2024 07:22;melissasantos;5,556193E+12;leandro@uol.com.br
1028;Srta. Guilherme Marcos Novaes Barbosa;87.721.008/0922-09;;11/03/1962;2;;False;;;15/07/2024 08:25;marinamoreira;19/10/2023 22:56;felipecampos;5,551199E+12;diego28@ig.com.br
1029;Sra. Maitê Cardoso;077.149.202-11;O;22/01/1954;1;RRFKT305;False;;;02/02/2025 16:16;beatrizfogaca73;02/02/2025 16:16;beatrizfogaca73;5,551191E+12;rodrigo5@uol.com.br
1030;Gabriela Mendes;300.839.363-62;;13/10/1980;1;F1D3AAMT;True;28/02/2025 18:26;igorcunha90;17/03/2024 22:47;pedrosouza;17/03/2024 22:47;pedrosouza;5,554192E+12;isabella@gmail.com
1031;Sra. Beatriz Moreira;172.775.671-11;F;07/04/1976;1;;True;21/12/2024 00:08;joaosilva59;19/09/2024 07:55;ceciliarezende;19/09/2024 07:55;ceciliarezende;5,555194E+12;lucas@uol.com.br
1032;Luiza Cruz;141.316.868-99;;07/08/1985;2;9TUBKIF8;True;28/05/2024 04:39;ricardogomes10;09/02/2025 19:12;mariananascimento;16/07/2024 03:20;carolinacunha26;5,555195E+12;diego44@gmail.com
1033;Maria Nina Novaes;819.880.357-62;;09/08/1949;2;;True;15/03/2024 17:35;helenamonteiro46;11/11/2024 06:30;joaofogaca;11/12/2023 16:58;viniciusvieira79;5,554195E+12;igor25@gmail.com
1034;Juliana Marcelo Novaes;203.153.053-89;O;29/01/1962;1;;True;10/08/2024 14:32;camilanunes39;15/12/2023 08:03;bernardogoncalves;12/07/2024 07:15;arthurcaldeira;5,552191E+12;larissa67@ig.com.br
1035;Sr. Luana Bruno Silva;80.758.514/8374-39;;02/01/1996;2;;True;20/02/2025 04:12;marianogueira;09/08/2024 02:43;amandamartins;09/08/2024 02:43;amandamartins;5,556198E+12;manuela@ig.com.br
1036;Dr. Lorena Sales;866.592.853-51;F;10/06/1971;2;62131YR9;True;05/10/2024 22:59;lucasmoraes;02/03/2025 20:39;sophiamendes;02/03/2025 20:39;sophiamendes;5,556194E+12;carlos@uol.com.br
1037;Lorenzo Eduardo Costa;052.746.600-03;M;05/04/1988;2;;True;07/02/2024 11:20;helenasouza5;14/12/2023 09:35;eduardolima2;14/12/2023 09:35;eduardolima2;5,557197E+12;matheus28@bol.com.br
1038;Sra. Emanuelly Cardoso;90.710.519/2707-85;;26/01/1994;2;WJW34BBX;False;;;11/05/2024 05:04;pauloramos;11/05/2024 05:04;pauloramos;5,555200E+12;paulo30@ig.com.br
1039;Dra. Jéssica Jesus;15.067.828/1899-53;F;21/06/1977;2;;True;01/08/2024 09:43;danilopereira36;11/08/2024 19:57;yasminaraujo;23/11/2024 02:13;rodrigolima9;5,554194E+12;maria@hotmail.com
1040;Daniela Caldeira;694.390.397-69;F;31/01/1993;1;A6INQZ8L;False;;;05/12/2023 15:51;caiorosa92;02/03/2024 07:33;marinacavalcanti9;5,551199E+12;arthur72@bol.com.br
1041;Sr. Sophia Mariana Aragão Moraes;67.731.319/5495-01;;04/01/1959;2;MY1U5UMH;False;;;08/06/2024 10:01;alineconceicao30;08/06/2024 10:01;alineconceicao30;5,553190E+12;henrique12@ig.com.br
1042;Srta. Leonardo Araújo;96.850.387/6285-43;M;12/11/1949;1;RDWZBMGG;True;13/03/2024 07:28;joaocardoso;30/04/2024 03:43;joaocardoso42;30/04/2024 03:43;joaocardoso42;5,557192E+12;vitor@hotmail.com
1043;Sr. Luigi Moura Barros;12.623.184/0112-90;;19/09/1993;2;E2L0TYNW;True;08/10/2023 04:11;leticiamartins;08/03/2024 09:01;alinedias87;08/03/2024 09:01;alinedias87;5,557200E+12;carlos20@yahoo.com.br
1044;Patricia Dias;58.322.226/1542-58;;18/09/1982;1;LP3WOKN2;True;03/11/2024 09:37;gabrielaraujo;23/09/2024 17:35;marianafernandes;23/09/2024 17:35;marianafernandes;5,558195E+12;diego10@hotmail.com
1045;Dr. Joaquim Santos;266.958.576-78;O;05/04/1978;1;QPXQMNCV;False;;;04/08/2024 18:10;alinecavalcanti6;03/12/2023 22:03;ricardopires;5,557196E+12;rebeca@gmail.com
1046;Nina Reis;691.252.228-76;F;27/12/1965;1;;False;;;01/10/2024 02:36;camilarocha;05/01/2024 00:37;rafaelagoncalves;5,553194E+12;carlos78@bol.com.br
1047;Srta. Rafaela Ramos;916.113.478-36;F;21/11/1977;2;R695O6W9;True;30/07/2024 05:50;isabelladias;29/10/2024 13:10;luiznascimento;15/03/2024 07:00;enzocunha;5,558198E+12;rafael@uol.com.br
1048;Dra. Sophie Mota Almeida;02.331.156/1680-32;O;29/07/1996;1;3BQEMK0B;False;;;01/06/2024 02:16;matheusmoraes;29/11/2024 09:47;leandrofogaca34;5,556195E+12;enzo85@gmail.com
1049;Vitória Ferreira Ramos;555.504.298-48;;02/09/2007;1;68HNLECZ;True;23/03/2024 02:20;gabrielamelo30;24/08/2024 16:25;julianacruz10;01/03/2024 20:58;lucasaraujo16;5,552200E+12;rafael31@bol.com.br
1050;Srta. Ana Caldeira;58.832.803/3412-82;;20/07/2006;1;AMMOJVPR;True;10/12/2024 23:54;amandagomes;01/06/2024 05:59;renangomes;22/12/2024 08:21;natalialopes;5,555200E+12;natalia86@hotmail.com
1051;Gustavo Silva Melo;330.556.976-21;;24/10/1989;2;3PIFMBUA;True;04/04/2024 08:27;gustavorocha;17/11/2024 22:53;caiopeixoto78;17/11/2024 22:53;caiopeixoto78;5,553199E+12;ana@bol.com.br
1052;Sra. Anthony Silva;46.157.460/1575-00;M;29/10/1990;1;WOH5257G;True;03/05/2024 05:52;beatrizmoreira3;15/11/2024 20:31;beatrizsilveira;15/11/2024 20:31;beatrizsilveira;5,555199E+12;paulo@hotmail.com
1053;Sr. Vicente Almeida;023.512.199-86;;08/11/1995;2;J04Z8QIU;False;;;04/05/2025 15:14;gustavorezende64;20/03/2025 11:43;valentinarodrigues;5,557192E+12;isabella57@uol.com.br
1054;Leandro Vieira;97.228.011/0033-28;M;18/04/1985;1;;True;15/12/2023 10:05;danielavieira38;18/08/2024 13:55;larissagomes;28/05/2024 23:16;eduardoazevedo54;5,551192E+12;melissa58@uol.com.br
1055;Srta. Leandro Mendes Lopes;03.106.456/1122-07;O;22/09/1972;1;;False;;;26/01/2024 05:34;larissarezende;16/05/2024 11:22;pauloazevedo;5,556194E+12;fernanda39@uol.com.br
1056;Srta. Lucas Marcelo Pires;736.220.205-48;M;31/08/1964;1;1L9SPC2F;False;;;06/01/2025 07:28;mariareis89;06/01/2025 07:28;mariareis89;5,552197E+12;larissa@ig.com.br
1057;Dra. Valentina Jéssica Mendes;37.979.738/1156-75;F;26/09/1986;1;;False;;;03/11/2023 19:31;samuelteixeira42;12/12/2023 05:32;camilaluz69;5,557193E+12;bruno@yahoo.com.br
1058;Sra. Alexandre Mata;00.196.486/0534-12;;24/09/1958;2;ISIMEXHN;False;;;01/09/2024 07:29;jessicanogueira40;11/09/2024 23:43;beatrizmartins24;5,557191E+12;pedro41@bol.com.br
1059;Aline Aragão;984.995.182-07;F;01/02/1945;2;;False;;;10/04/2024 13:45;amandacarvalho;07/02/2025 20:51;natalialopes;5,556199E+12;bruno62@yahoo.com.br
1060;Sra. Arthur Rafael Rocha;579.399.713-05;;07/03/1962;2;OM6RE4V9;False;;;16/02/2025 01:17;caioduarte;09/03/2025 04:24;davinunes42;5,552199E+12;mariana13@ig.com.br
1061;Sra. Théo Amanda Rodrigues;13.825.188/9724-03;O;17/06/1973;1;T1LSXPZN;False;;;13/11/2024 07:28;paulojesus;17/12/2023 23:12;melissacruz97;5,553194E+12;daniela35@ig.com.br
1062;Vitor Gabriel Cavalcanti;674.525.266-80;;17/06/1962;1;DQWJXYSE;True;26/05/2024 17:09;amandapaz;23/10/2024 21:25;pedroazevedo;07/11/2024 04:33;henriquesilveira;5,556199E+12;igor@yahoo.com.br
1063;Luna Dias;869.085.498-65;F;12/11/1972;2;;False;;;15/11/2023 20:41;brunapaz;14/04/2025 14:37;danielacostela;5,551200E+12;ana@yahoo.com.br
1064;Dra. Emilly Campos;870.851.991-77;F;21/08/1977;2;3E1BMTCE;True;14/03/2024 18:56;brunoalves;22/03/2024 01:48;luizgomes;22/03/2024 01:48;luizgomes;5,552193E+12;marina@bol.com.br
1065;Sr. Luana Fernandes;38.231.954/1138-62;F;28/04/1982;2;0FCUHVMP;True;27/11/2024 21:59;alexandreramos;19/02/2024 06:58;rafaelmata26;19/02/2024 06:58;rafaelmata26;5,558196E+12;eduardo@yahoo.com.br
1066;Sra. Nicolas Mota Lopes;600.811.790-14;M;17/11/1966;2;ZTW2YSML;True;02/11/2023 20:49;enzonogueira;28/08/2024 09:10;marinaferreira71;03/05/2025 19:09;matheusfarias;5,551194E+12;laura4@bol.com.br
1067;Dr. Vinícius Cunha;581.502.732-29;;20/08/1998;2;C5P1KA8R;False;;;22/01/2024 17:06;lucasalmeida65;01/08/2024 15:01;rafaelgomes;5,556193E+12;mariana83@gmail.com
1068;Sra. Lívia Novaes;292.069.777-21;F;07/01/1955;1;;False;;;19/12/2024 03:01;larissafarias;29/01/2024 10:16;henriquenogueira36;5,557200E+12;bernardo25@hotmail.com
1069;Dra. Calebe Guilherme Vieira;414.119.370-57;O;06/08/1997;1;WG74OQIL;False;;;14/07/2024 00:57;bernardocavalcanti;14/07/2024 00:57;bernardocavalcanti;5,557196E+12;larissa@ig.com.br
1070;Srta. Renan Pinto Campos;968.044.437-56;M;30/08/1985;1;287D57KV;False;;;30/11/2023 09:16;luizcampos50;30/11/2023 09:16;luizcampos50;5,551193E+12;leandro@uol.com.br
1071;Sr. André Silveira;451.510.589-18;O;26/08/1983;1;;True;20/04/2024 15:11;brunojesus95;08/12/2024 12:03;luizlima;08/12/2024 12:03;luizlima;5,553199E+12;bruna@gmail.com
1072;Igor Rafael Rodrigues Gomes;367.837.174-66;M;06/01/2004;1;480NNSZI;True;03/05/2025 04:09;diegopires;06/06/2024 09:21;henriquenunes39;28/10/2023 23:21;rafaelviana;5,555193E+12;aline@uol.com.br
1073;Isis Fogaça;25.460.246/7777-47;;26/02/1969;1;;False;;;24/08/2024 22:20;natalianovaes;23/11/2023 03:55;henriquesantos;5,557197E+12;julia@bol.com.br
1074;Rafael Ricardo Aragão;63.520.789/8908-63;M;29/12/1963;1;TW5T8AH6;True;06/10/2023 15:00;miguelnogueira;20/03/2024 21:29;arthurcaldeira;20/03/2024 21:29;arthurcaldeira;5,558195E+12;leandro44@ig.com.br
1075;Sr. Caroline Barbosa;34.408.805/1176-56;;14/12/1961;2;;False;;;09/04/2024 20:55;joaoconceicao;09/04/2024 20:55;joaoconceicao;5,553198E+12;juliana52@hotmail.com
1076;Srta. Sophia Valentina Cavalcanti Rosa;978.948.405-76;;13/06/1952;2;;False;;;01/10/2023 16:21;rodrigonogueira;24/08/2024 05:30;julianabarros17;5,557196E+12;leonardo4@hotmail.com
1077;Sra. Fernando Pereira;71.710.295/1508-26;M;14/03/1994;1;8BACGB7F;False;;;30/10/2024 11:27;eduardonascimento40;30/10/2024 11:27;eduardonascimento40;5,552193E+12;beatriz@gmail.com
1078;Gabriela Araújo;50.591.391/2951-72;F;06/08/1964;1;AELS5BLN;False;;;15/12/2024 20:25;alicecorreia7;22/11/2024 13:03;leticiapires63;5,554195E+12;ana85@bol.com.br
1079;Dra. Lorena Teixeira;917.561.385-24;;02/06/1971;2;;True;27/08/2024 11:20;rafaellopes;14/01/2024 23:46;paulocavalcanti;14/01/2024 23:46;paulocavalcanti;5,552199E+12;igor77@gmail.com
1080;Sra. Aurora Gonçalves;906.849.127-42;;21/03/1945;1;;False;;;14/04/2025 03:46;rebecaazevedo;09/05/2024 02:42;nicolemoreira;5,555191E+12;henrique94@bol.com.br
1081;Nathan Barbosa Gonçalves;43.915.975/6297-59;;03/10/2003;1;C7818C4R;True;28/10/2023 05:31;brunagoncalves50;15/12/2024 12:26;eduardolopes26;15/12/2024 12:26;eduardolopes26;5,558200E+12;bruna73@hotmail.com
1082;Sra. Francisco Castro Lima;498.095.605-92;O;22/10/2000;1;;False;;;29/07/2024 10:40;larasouza;17/01/2024 15:10;ceciliacosta;5,555197E+12;amanda48@bol.com.br
1083;Thiago Cavalcanti;748.312.905-89;;21/10/2005;2;6XSPWHQU;True;05/12/2023 09:43;beatrizrezende60;26/02/2024 02:49;isabellacavalcanti;29/10/2024 23:25;leandrooliveira26;5,554190E+12;danilo@yahoo.com.br
1084;Dr. Lorena Caldeira Souza;71.908.078/7155-92;F;11/08/1998;1;;False;;;23/07/2024 09:13;bernardorosa96;23/07/2024 09:13;bernardorosa96;5,554190E+12;joao93@hotmail.com
1085;Agatha Martins;798.005.388-38;O;16/06/1984;1;OL2BTX42;True;12/06/2024 16:20;paulogoncalves29;03/10/2023 17:06;davimoura72;10/02/2025 00:25;camilaalves;5,553195E+12;yasmin@uol.com.br
1086;Srta. Patricia Fernanda Costa;717.916.396-52;F;02/11/1982;1;G8ZGU2RF;False;;;22/04/2025 11:51;gabrielnogueira;30/12/2024 22:18;arthurrocha64;5,552198E+12;bruno@uol.com.br
1087;Luiza Amanda Porto;30.285.554/6766-80;F;25/12/2006;1;PW4BJ46C;True;02/01/2024 14:40;rebecareis86;19/11/2023 21:55;patricianovaes;19/11/2023 21:55;patricianovaes;5,552194E+12;rodrigo62@yahoo.com.br
1088;Pietro Pietra Ferreira;859.113.774-87;;22/05/1958;1;2T1KZWQV;True;21/04/2025 03:49;matheuscunha74;31/01/2025 09:52;lucasaraujo;03/04/2025 15:28;ceciliacaldeira27;5,552198E+12;jessica@ig.com.br
1089;Murilo Porto;91.506.257/2927-16;M;07/09/1987;2;;True;01/02/2024 15:18;gabrieladuarte;10/10/2024 21:23;rafaelcorreia;29/03/2024 19:33;luizcaldeira59;5,553200E+12;carolina@yahoo.com.br
1090;Dra. Luna Maria Sales;26.862.032/7257-98;;27/12/1982;2;SG19N6ZT;False;;;14/10/2023 10:40;julianamoreira88;19/08/2024 03:02;pedrocunha18;5,554197E+12;valentina@hotmail.com
1091;Dra. Thiago Vinicius Nunes;31.211.450/0171-42;;26/09/1997;1;4BD5KULL;False;;;12/07/2024 00:13;marianagomes;22/12/2023 18:25;carolinagomes;5,552196E+12;fernanda@gmail.com
1092;Dra. Gabriel Paz;338.978.520-19;M;01/04/1993;2;KKI70XZU;True;19/03/2024 15:29;leonardonunes;19/03/2024 00:51;larissapinto;08/03/2025 19:24;danielaramos28;5,558192E+12;juliana28@gmail.com
1093;Sr. Valentina Lavínia Porto;879.264.249-23;F;20/07/1965;2;I0018E1A;False;;;30/01/2024 22:42;arthurvieira;01/10/2023 07:48;mariarodrigues;5,556193E+12;cecilia@uol.com.br
1094;Clara Rezende;196.236.107-50;F;18/04/2001;1;;True;16/12/2024 11:31;matheusrocha;17/08/2024 21:11;felipesilva10;30/12/2023 08:30;andrealmeida;5,555194E+12;leandro21@hotmail.com
1095;Sr. Melissa Duarte;39.760.648/4891-88;F;19/03/1955;1;J5I9KQE1;True;08/04/2025 19:10;isabellasales;16/02/2024 21:58;larissacavalcanti10;16/02/2024 21:58;larissacavalcanti10;5,554193E+12;gustavo52@hotmail.com
1096;Thales Gonçalves;333.545.657-32;;23/06/1989;1;WDOINZZ3;False;;;30/01/2024 23:27;andrefernandes;30/01/2024 23:27;andrefernandes;5,556190E+12;leandro@yahoo.com.br
1097;Sr. Yasmin Porto;136.791.835-04;F;04/12/1962;1;C4FRBXYJ;True;07/05/2024 21:34;rafaelajesus66;10/04/2025 07:09;ricardoteixeira55;11/07/2024 00:38;juliamata;5,553200E+12;patricia@yahoo.com.br
1098;Daniela Teixeira Mata;733.052.639-85;;23/11/1977;1;;False;;;05/05/2024 02:23;felipeteixeira88;24/01/2025 04:22;rafaelamendes;5,555192E+12;bernardo@gmail.com
1099;Sr. Felipe Pedro Moreira;672.020.581-93;M;28/07/1963;1;;False;;;17/01/2024 01:36;rodrigogoncalves90;17/01/2024 01:36;rodrigogoncalves90;5,557193E+12;igor20@bol.com.br
1100;Isabella Rocha;677.099.920-11;;13/08/1948;1;;False;;;01/04/2025 07:03;rafaelalves;01/04/2025 07:03;rafaelalves;5,554197E+12;larissa@bol.com.br
1101;Dra. Laura Almeida;69.392.832/6685-66;F;05/11/1974;2;2SNWMQCW;False;;;16/01/2024 23:46;melissaaragao;09/08/2024 19:34;caioalves20;5,555197E+12;bruna@bol.com.br
1102;Sr. Yuri Erick Viana Oliveira;53.478.689/1283-61;M;05/11/1946;1;;True;27/04/2024 22:13;leonardocampos;11/01/2024 04:27;alicemelo77;21/09/2024 23:03;viniciusbarbosa;5,551194E+12;henrique63@gmail.com
1103;Dr. Giovanna Luz;90.770.458/8190-90;F;21/10/2003;2;B72CLVXK;True;10/10/2023 01:33;danilovieira70;11/11/2023 23:34;marinarocha;07/10/2023 08:25;andremelo;5,558199E+12;giovanna61@ig.com.br
1104;Sr. Alexandre Mata;531.047.278-07;O;04/02/1969;1;;False;;;04/05/2024 01:41;beatrizribeiro;03/12/2023 07:42;arthurdias27;5,556198E+12;carlos@uol.com.br
1105;Srta. Maitê Mariana Rosa;925.488.109-73;O;14/10/2006;1;;True;16/10/2024 11:47;igorrezende87;27/12/2023 21:21;diegosouza;23/01/2024 15:20;davirocha28;5,554191E+12;samuel@bol.com.br
1106;Dr. Benício Lopes Gonçalves;287.776.474-13;;17/09/1946;1;;True;20/01/2024 16:55;danielapinto;02/01/2025 02:55;larissarezende;01/03/2024 04:06;alexandreazevedo89;5,557195E+12;diego42@uol.com.br
1107;Srta. Luiz Rodrigo Silva;552.570.444-41;M;19/11/1960;1;XPD11U0S;False;;;31/10/2023 06:51;danielarodrigues;07/02/2025 05:09;marceloconceicao;5,553190E+12;yasmin@gmail.com
1108;Sr. Marina Carvalho;14.350.098/4692-89;F;30/06/1946;2;UJP54X7F;True;09/06/2024 08:02;rodrigorodrigues88;16/02/2024 21:09;alexandrejesus;16/02/2024 21:09;alexandrejesus;5,551200E+12;bernardo28@uol.com.br
1109;Marcelo Peixoto Peixoto;202.973.284-82;M;29/03/1992;2;;False;;;12/05/2024 15:13;leticiacardoso22;18/10/2023 05:26;alexandrepaz77;5,552192E+12;enzo@ig.com.br
1110;Sr. Paulo Almeida;748.916.230-98;;20/05/2002;1;;True;17/10/2024 12:50;nataliacaldeira43;28/11/2023 17:03;rafaelamartins50;28/11/2023 17:03;rafaelamartins50;5,557194E+12;arthur@uol.com.br
1111;Fernando Costela Nogueira;62.749.139/3663-43;O;14/10/1975;2;;True;19/03/2024 04:22;gabrielcarvalho92;25/12/2023 06:58;caiopires52;22/01/2024 17:49;marianascimento56;5,556197E+12;matheus@gmail.com
1112;Daniela Lorena Silveira;20.360.895/1147-23;;04/04/2003;2;;True;25/04/2025 06:53;melissamoreira;07/04/2024 16:30;rodrigoazevedo52;07/04/2024 16:30;rodrigoazevedo52;5,551196E+12;cecilia@hotmail.com
1113;Fernando Erick Rosa;660.170.658-76;O;06/05/1946;2;;False;;;12/01/2025 11:08;sophiaporto13;21/12/2024 18:28;vitormata92;5,554190E+12;bianca@ig.com.br
1114;Sr. Igor Nogueira Correia;34.861.310/1056-78;M;31/05/1970;1;;False;;;17/12/2024 23:51;leandrocardoso;05/04/2025 17:24;juliaporto;5,554199E+12;carolina49@uol.com.br
1115;Srta. Luna Rosa;38.425.879/1595-69;F;09/03/2007;1;;True;31/12/2024 13:20;renannascimento57;23/02/2024 05:07;fernandagomes68;23/02/2024 05:07;fernandagomes68;5,554190E+12;felipe82@hotmail.com
1116;Dr. Helena Aragão;645.015.910-28;F;25/06/1956;1;CHNQQVUA;True;10/03/2025 04:00;joaopaz;01/11/2023 09:39;leonardorodrigues96;01/11/2023 09:39;leonardorodrigues96;5,557199E+12;vitor21@gmail.com
1117;Yasmin Mariana Jesus;174.367.759-28;F;27/05/1954;2;3X0U0NCI;False;;;16/10/2024 02:28;bernardonascimento;03/12/2023 12:51;diegoaragao60;5,558198E+12;matheus30@uol.com.br
1118;Srta. Emanuel Farias Ferreira;679.770.436-86;;12/01/1959;2;8HRC5J1O;True;08/04/2025 11:55;rodrigoporto59;20/04/2025 01:20;ceciliafarias;20/04/2025 01:20;ceciliafarias;5,554194E+12;juliana27@ig.com.br
1119;Sra. Julia Lucas Mata Barros;945.100.832-16;;27/07/2000;2;;False;;;23/03/2025 10:58;enzonascimento;28/08/2024 02:38;felipeporto;5,556191E+12;gabriela32@yahoo.com.br
1120;Srta. Nina Luz;238.298.251-65;F;23/10/1973;1;D0JYETQE;False;;;06/11/2023 09:28;rodrigopeixoto;20/10/2023 07:48;alineteixeira65;5,554198E+12;gustavo@bol.com.br
1121;Sr. Marcelo Jesus Rezende;507.579.264-00;;09/11/1953;1;;False;;;13/04/2024 01:50;felipecaldeira34;13/02/2024 19:11;rafaelcardoso43;5,557194E+12;juliana14@uol.com.br
1122;Juliana Lara Ferreira;438.219.048-14;F;11/02/1999;1;3QORI68M;True;25/08/2024 14:12;helenanogueira13;01/02/2024 23:31;amandamartins13;01/02/2024 23:31;amandamartins13;5,552197E+12;melissa83@hotmail.com
1123;Sr. Thiago Gustavo Souza Teixeira;72.234.760/4313-87;M;23/10/1972;1;;False;;;04/09/2024 19:23;beatrizlopes;01/12/2024 00:38;andreteixeira;5,558199E+12;juliana@uol.com.br
